Scheme name	Locus tag	Description
wgMLST	b2627 (yfjK)	"DEAD/H helicase-like protein, CP4-57 putative defective prophage"
wgMLST	b2628 (yfjL)	"CP4-57 putative defective prophage, DUF4297/DUF1837 polymorphic toxin family protein"
wgMLST	b2629 (yfjM)	CP4-57 prophage; uncharacterized protein
wgMLST	b2630 (rnlA)	CP4-57 prophage; RNase LS
wgMLST	b2631 (rnlB)	CP4-57 prophage; uncharacterized protein
wgMLST	b2634 (yfjR)	CP4-57 prophage; putative DNA-binding transcriptional regulator
wgMLST	b2635 (ypjK)	CP4-57 prophage; putative inner membrane protein
wgMLST	b2642 (yfjW)	CP4-57 prophage; putative inner membrane protein
wgMLST	b2647 (ypjA)	adhesin-like autotransporter
wgMLST	b2659 (csiD)	carbon starvation protein
wgMLST	b2660 (lhgO)	L-2-hydroxyglutarate oxidase
wgMLST	b2661 (gabD)	"succinate-semialdehyde dehydrogenase I, NADP-dependent "
wgMLST	b2662 (gabT)	"4-aminobutyrate aminotransferase, PLP-dependent "
wgMLST	b2663 (gabP)	gamma-aminobutyrate transporter
wgMLST	b2674 (nrdI)	NrdEF cluster assembly flavodoxin
wgMLST	b2702 (srlA)	glucitol/sorbitol-specific enzyme IIC component of PTS
wgMLST	b2703 (srlE)	glucitol/sorbitol-specific enzyme IIB component of PTS
wgMLST	b2704 (srlB)	glucitol/sorbitol-specific enzyme IIA component of PTS
wgMLST	b2705 (srlD)	sorbitol-6-phosphate dehydrogenase
wgMLST	b2706 (srlM)	sorbitol-responsive srl operon transcriptional activator
wgMLST	b2707 (srlR)	sorbitol-inducible srl operon transcriptional repressor
wgMLST	b2712 (hypF)	carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases
wgMLST	b2714 (ascG)	asc operon transcriptional repressor; prpBC operon repressor
wgMLST	b2715 (ascF)	fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component
wgMLST	b2716 (ascB)	cryptic 6-phospho-beta-glucosidase
wgMLST	b2717 (hycI)	protease involved in processing C-terminal end of HycE
wgMLST	b2718 (hycH)	hydrogenase 3 maturation protein
wgMLST	b2719 (hycG)	"hydrogenase 3 and formate hydrogenase complex, HycG subunit "
wgMLST	b2720 (hycF)	formate hydrogenlyase complex iron-sulfur protein
wgMLST	b2721 (hycE)	"hydrogenase 3, large subunit "
wgMLST	b2731 (fhlA)	formate hydrogenlyase transcriptional activator
wgMLST	b2732 (ygbA)	uncharacterized protein
wgMLST	b2734 (pphB)	serine/threonine-specific protein phosphatase 2
wgMLST	b2735 (ygbI)	DeoR family putative transcriptional regulator
wgMLST	b2736 (ygbJ)	putative dehydrogenase
wgMLST	b2737 (ygbK)	FliA-regulated DUF1537 family protein
wgMLST	b2738 (ygbL)	putative class II aldolase
wgMLST	b2739 (ygbM)	putative hydroxypyruvate isomerase
wgMLST	b2740 (ygbN)	putative transporter
wgMLST	b2754 (ygbF)	CRISPR adaptation ssRNA endonuclease
wgMLST	b2755 (ygbT)	"multifunctional endonuclease Cas1, CRISPR adaptation protein; DNA repair enzyme"
wgMLST	b2756 (casE)	CRISPR RNA precursor cleavage enzyme; CRISP RNA (crRNA) containing Cascade antiviral complex protein
wgMLST	b2757 (casD)	CRISP RNA (crRNA) containing Cascade antiviral complex protein
wgMLST	b2758 (casC)	CRISP RNA (crRNA) containing Cascade antiviral complex protein
wgMLST	b2759 (casB)	CRISP RNA (crRNA) containing Cascade antiviral complex protein
wgMLST	b2760 (casA)	CRISP RNA (crRNA) containing Cascade antiviral complex protein
wgMLST	b2761 (ygcB)	R-loop helicase-annealase Cas3 needed for Cascade anti-viral activity
wgMLST	b2766 (ygcN)	putative oxidoreductase
wgMLST	b2767 (ygcO)	putative 4Fe-4S cluster-containing protein
wgMLST	b2768 (ygcP)	putative antiterminator regulatory protein
wgMLST	b2769 (ygcQ)	putative flavoprotein
wgMLST	b2770 (ygcR)	putative flavoprotein
wgMLST	b2771 (ygcS)	putative transporter
wgMLST	b2774 (ygcW)	putative dehydrogenase
wgMLST	b2775 (yqcE)	MFS transporter family protein
wgMLST	b2776 (ygcE)	putative kinase
wgMLST	b2778 (ygcG)	uncharacterized protein
wgMLST	b2782 (mazF)	"mRNA interferase toxin, antitoxin is MazE"
wgMLST	b2783 (mazE)	antitoxin of the ChpA-ChpR toxin-antitoxin system
wgMLST	b2787 (gudD)	(D)-glucarate dehydratase 1
wgMLST	b2789 (gudP)	putative D-glucarate transporter
wgMLST	b2801 (fucP)	L-fucose transporter
wgMLST	b2845 (yqeG)	putative transporter
wgMLST	b2846 (yqeH)	putative LuxR family transcriptional regulator
wgMLST	b2847 (yqeI)	putative transcriptional regulator
wgMLST	b2848 (yqeJ)	uncharacterized protein
wgMLST	b2849 (yqeK)	uncharacterized protein
wgMLST	b2851 (ygeG)	SycD-like chaperone family TPR-repeat-containing protein
wgMLST	b2852 (ygeH)	putative transcriptional regulator
wgMLST	b2853 (ygeI)	uncharacterized protein
wgMLST	b2859 (ygeO)	pseudogene
wgMLST	b2866 (xdhA)	"xanthine dehydrogenase, molybdenum binding subunit"
wgMLST	b2867 (xdhB)	"xanthine dehydrogenase, FAD-binding subunit"
wgMLST	b2868 (xdhC)	"xanthine dehydrogenase, Fe-S binding subunit"
wgMLST	b2869 (ygeV)	putative sigma-54-interacting transcriptional activator
wgMLST	b2870 (ygeW)	putative carbamoyltransferase
wgMLST	b2871 (ygeX)	"2,3-diaminopropionate ammonia lyase, PLP-dependent "
wgMLST	b2872 (ygeY)	putative peptidase
wgMLST	b2873 (hyuA)	D-stereospecific phenylhydantoinase
wgMLST	b2874 (yqeA)	putative amino acid kinase
wgMLST	b2875 (yqeB)	XdhC-CoxI family protein with NAD(P)-binding Rossman fold
wgMLST	b2876 (yqeC)	putative selenium-dependent hydroxylase accessory protein
wgMLST	b2877 (mocA)	CTP:molybdopterin cytidylyltransferase
wgMLST	b2878 (ygfK)	putative Fe-S subunit oxidoreductase subunit
wgMLST	b2879 (ssnA)	putative chlorohydrolase/aminohydrolase
wgMLST	b2880 (ygfM)	putative oxidoreductase
wgMLST	b2881 (xdhD)	"putative hypoxanthine oxidase, molybdopterin-binding/Fe-S binding"
wgMLST	b2882 (xanQ)	xanthine permease
wgMLST	b2883 (guaD)	guanine deaminase
wgMLST	b2886 (ygfS)	putative 4Fe-4S ferredoxin-type oxidoreductase subunit
wgMLST	b2887 (ygfT)	"putative oxidoreductase, Fe-S subunit/nucleotide-binding subunit"
wgMLST	b2888 (uacT)	uric acid permease
wgMLST	b2890 (lysS)	"lysine tRNA synthetase, constitutive "
wgMLST	b2902 (ygfF)	putative NAD(P)-dependent oxidoreductase with NAD(P)-binding Rossmann-fold domain
wgMLST	b2917 (scpA)	methylmalonyl-CoA mutase
wgMLST	b2918 (argK)	membrane ATPase/protein kinase
wgMLST	b2919 (scpB)	"methylmalonyl-CoA decarboxylase, biotin-independent "
wgMLST	b2920 (scpC)	propionyl-CoA:succinate CoA transferase
wgMLST	b2921 (ygfI)	putative DNA-binding transcriptional regulator
wgMLST	b2924 (mscS)	"mechanosensitive channel protein, small conductance"
wgMLST	b2928 (yggC)	putative PanK family P-loop kinase
wgMLST	b2929 (yggD)	MtlR family putative transcriptional repressor
wgMLST	b2930 (yggF)	"fructose 1,6 bisphosphatase isozyme"
wgMLST	b2933 (cmtA)	putative mannitol-specific PTS enzymes: IIB component/IIC component
wgMLST	b2934 (cmtB)	putative mannitol-specific enzyme IIA component of PTS
wgMLST	b2956 (yggM)	DUF1202 family putative secreted protein
wgMLST	b2965 (speC)	"ornithine decarboxylase, constitutive "
wgMLST	b2968 (yghD)	putative membrane-anchored secretion pathway M-type protein
wgMLST	b2969 (yghE)	pseudogene
wgMLST	b2971 (yghG)	secretin (GspDbeta) OM localization lipoprotein pilotin
wgMLST	b2972 (pppA)	bifunctional prepilin leader peptidase/methylase
wgMLST	b2976 (glcB)	malate synthase G
wgMLST	b2977 (glcG)	DUF336 family protein
wgMLST	b2979 (glcD)	"glycolate oxidase subunit, FAD-linked"
wgMLST	b2980 (glcC)	glycolate-inducible glc operon transcriptional repressor; autorepressor
wgMLST	b2981 (yghO)	pseudogene
wgMLST	b2983 (yghQ)	putative inner membrane polysaccharide flippase
wgMLST	b2984 (yghR)	putative ATP-binding protein
wgMLST	b2985 (yghS)	putative ATP-binding protein
wgMLST	b2986 (yghT)	putative ATP-binding protein
wgMLST	b3003 (yghA)	putative oxidoreductase
wgMLST	b3013 (yqhG)	DUF3828 family putative periplasmic protein
wgMLST	b3020 (ygiS)	putative inner membrane ABC superfamily transporter permease
wgMLST	b3021 (mqsA)	antitoxin for MqsR toxin; transcriptional repressor
wgMLST	b3022 (mqsR)	GCU-specific mRNA interferase toxin of the MqsR-MqsA toxin-antitoxin system; biofilm/motility regulator; anti-repressor
wgMLST	b3027 (ygiZ)	inner membrane protein
wgMLST	b3042 (yqiC)	BMFP family putative fusogenic protein
wgMLST	b3043 (ygiL)	putative fimbrial-like adhesin protein
wgMLST	b3047 (yqiH)	putative periplasmic pilin chaperone
wgMLST	b3048 (yqiI)	fimbrial protein
wgMLST	b3050 (yqiJ)	DUF1449 family inner membrane protein
wgMLST	b3051 (yqiK)	"PHB family membrane protein, function unknown"
wgMLST	b3060 (ttdR)	transcriptional activator of ttdABT
wgMLST	b3078 (ygjI)	putative transporter
wgMLST	b3079 (ygjJ)	putative periplasmic protein
wgMLST	b3080 (ygjK)	alpha-glucosidase
wgMLST	b3082 (higA)	antitoxinof the HigB-HigA toxin-antitoxin system
wgMLST	b3083 (higB)	mRNA interferase toxin of the HigB-HigA toxin-antitoxin system
wgMLST	b3086 (ygjQ)	DUF218 superfamily protein
wgMLST	b3103 (yhaH)	DUF805 family inner membrane protein
wgMLST	b3104 (yhaI)	DUF805 family inner membrane protein
wgMLST	b3110 (yhaO)	putative transporter
wgMLST	b3120 (yhaB)	uncharacterized protein
wgMLST	b3121 (yhaC)	pentapetide repeats-related protein
wgMLST	b3128 (garD)	(D)-galactarate dehydrogenase
wgMLST	b3129 (prlF)	antitoxin of the SohA(PrlF)-YhaV toxin-antitoxin system
wgMLST	b3130 (yhaV)	toxin of the SohB(PrlF)-YhaV toxin-antitoxin system
wgMLST	b3131 (agaR)	transcriptional repressor of the aga regulon
wgMLST	b3132 (kbaZ)	"tagatose 6-phosphate aldolase 1, kbaZ subunit "
wgMLST	b3133 (agaV)	N-acetylgalactosamine-specific enzyme IIB component of PTS
wgMLST	b3135 (agaA)	pseudogene
wgMLST	b3136 (agaS)	tagatose-6-phosphate ketose/aldose isomerase
wgMLST	b3137 (kbaY)	"tagatose 6-phosphate aldolase 1, kbaY subunit "
wgMLST	b3138 (agaB)	N-acetylgalactosamine-specific enzyme IIB component of PTS
wgMLST	b3139 (agaC)	N-acetylgalactosamine-specific enzyme IIC component of PTS
wgMLST	b3140 (agaD)	N-acetylgalactosamine-specific enzyme IID component of PTS
wgMLST	b3141 (agaI)	galactosamine-6-phosphate isomerase
wgMLST	b3142 (yraH)	putative fimbrial-like adhesin protein
wgMLST	b3143 (yraI)	putative periplasmic pilin chaperone
wgMLST	b3144 (yraJ)	putative outer membrane protein
wgMLST	b3145 (yraK)	putative fimbrial-like adhesin protein
wgMLST	b3146 (rsmI)	"16S rRNA C1402 2'-O-ribose methyltransferase, SAM-dependent"
wgMLST	b3153 (yhbO)	stress-resistance protein
wgMLST	b3154 (yhbP)	UPF0306 family protein
wgMLST	b3173 (yhbX)	"putative EptAB family phosphoethanolamine transferase, inner membrane protein"
wgMLST	b3214 (gltF)	periplasmic protein
wgMLST	b3215 (yhcA)	putative periplasmic chaperone protein
wgMLST	b3216 (yhcD)	putative outer membrane fimbrial subunit usher protein
wgMLST	b3219 (yhcF)	putative transcriptional regulator
wgMLST	b3220 (yhcG)	DUF1016 family protein in the PD-(D/E)XK nuclease superfamily
wgMLST	b3227 (dcuD)	putative transporter
wgMLST	b3264 (acrS)	acrAB operon transcriptional repressor
wgMLST	b3267 (yhdV)	putative outer membrane protein
wgMLST	b3269 (yhdX)	putative amino-acid transporter subunit
wgMLST	b3270 (yhdY)	putative amino-acid transporter subunit
wgMLST	b3271 (yhdZ)	putative amino-acid transporter subunit
wgMLST	b3287 (def)	peptide deformylase
wgMLST	b3291 (mscL)	"mechanosensitive channel protein, high conductance"
wgMLST	b3292 (zntR)	zntA gene transcriptional activator
wgMLST	b3293 (yhdN)	DUF1992 family protein
wgMLST	b3322 (gspB)	part of gsp divergon involved in type II protein secretion
wgMLST	b3323 (gspA)	"general secretory pathway component, cryptic"
wgMLST	b3324 (gspC)	"general secretory pathway component, cryptic"
wgMLST	b3325 (gspD)	"general secretory pathway component, cryptic"
wgMLST	b3326 (gspE)	"general secretory pathway component, cryptic"
wgMLST	b3327 (gspF)	"general secretory pathway component, cryptic"
wgMLST	b3328 (gspG)	"pseudopilin, cryptic, general secretion pathway"
wgMLST	b3329 (gspH)	"putative general secretory pathway component, cryptic"
wgMLST	b3330 (gspI)	"general secretory pathway component, cryptic"
wgMLST	b3331 (gspJ)	"putative general secretory pathway component, cryptic"
wgMLST	b3332 (gspK)	"general secretory pathway component, cryptic"
wgMLST	b3333 (gspL)	"general secretory pathway component, cryptic"
wgMLST	b3334 (gspM)	"general secretory pathway component, cryptic"
wgMLST	b3335 (gspO)	bifunctional prepilin leader peptidase/methylase
wgMLST	b3336 (bfr)	"bacterioferritin, iron storage and detoxification protein"
wgMLST	b3337 (bfd)	bacterioferritin-associated ferredoxin
wgMLST	b3338 (chiA)	periplasmic endochitinase
wgMLST	b3339 (tufA)	translation elongation factor EF-Tu 1
wgMLST	b3341 (rpsG)	30S ribosomal subunit protein S7
wgMLST	b3370 (frlA)	putative fructoselysine transporter
wgMLST	b3371 (frlB)	fructoselysine-6-P-deglycase
wgMLST	b3374 (frlD)	fructoselysine 6-kinase
wgMLST	b3375 (frlR)	putative DNA-binding transcriptional regulator
wgMLST	b3376 (yhfS)	FNR-regulated pyridoxal phosphate-dependent aminotransferase family protein
wgMLST	b3377 (yhfT)	inner membrane protein
wgMLST	b3378 (yhfU)	DUF2620 family protein
wgMLST	b3379 (php)	phosphotriesterase homology protein
wgMLST	b3380 (yhfW)	phosphopentomutase-related metalloenzyme superfamily protein
wgMLST	b3381 (yhfX)	putative pyridoxal 5'-phosphate binding protein
wgMLST	b3382 (yhfY)	PRD domain protein
wgMLST	b3383 (yhfZ)	putative DNA-binding transcriptional regulator
wgMLST	b3416 (malQ)	4-alpha-glucanotransferase (amylomaltase)
wgMLST	b3421 (rtcB)	RNA-splicing ligase
wgMLST	b3422 (rtcR)	sigma 54-dependent transcriptional regulator of rtcBA expression
wgMLST	b3441 (yhhY)	putative acetyltransferase
wgMLST	b3442 (yhhZ)	putative Hcp1 family polymorphic toxin protein; putative colicin-like DNase/tRNase activity
wgMLST	b3446 (yrhB)	stable heat shock chaperone
wgMLST	b3447 (ggt)	gamma-glutamyltranspeptidase
wgMLST	b3453 (ugpB)	glycerol-3-phosphate transporter subunit
wgMLST	b3458 (livK)	leucine transporter subunit
wgMLST	b3482 (rhsB)	"Rhs family putative polymorphic toxin, putative neighboring cell growth inhibitor"
wgMLST	b3483 (yhhH)	putative immunity protein for putative polymorphic toxin RhsB
wgMLST	b3488 (yhiJ)	DUF4049 family protein
wgMLST	b3491 (yhiM)	"acid resistance protein, inner membrane"
wgMLST	b3492 (yhiN)	putative oxidoreductase
wgMLST	b3493 (pitA)	"phosphate transporter, low-affinity; tellurite importer"
wgMLST	b3501 (arsR)	arsenical resistance operon transcriptional repressor; autorepressor
wgMLST	b3502 (arsB)	arsenite/antimonite transporter
wgMLST	b3508 (yhiD)	"putative Mg(2+) transport ATPase, inner membrane protein"
wgMLST	b3513 (mdtE)	"anaerobic multidrug efflux transporter, ArcA-regulated"
wgMLST	b3516 (gadX)	acid resistance regulon transcriptional activator; autoactivator
wgMLST	b3518 (yhjA)	putative cytochrome C peroxidase
wgMLST	b3530 (bcsC)	cellulose synthase subunit
wgMLST	b3532 (bcsB)	"regulator of cellulose synthase, cyclic di-GMP binding"
wgMLST	b3533 (bcsA)	"cellulose synthase, catalytic subunit "
wgMLST	b3535 (yhjR)	DUF2629 family protein
wgMLST	b3536 (bcsE)	cellulose production protein
wgMLST	b3537 (bcsF)	DUF2636 family small membrane protein associated with cellulose production
wgMLST	b3538 (bcsG)	DUF3260 family inner membrane protein associated with cellulose production
wgMLST	b3547 (yhjX)	"pyruvate-inducible inner membrane protein, putative transporter"
wgMLST	b3556 (cspA)	"RNA chaperone and antiterminator, cold-inducible"
wgMLST	b3557 (insJ)	IS150 transposase A
wgMLST	b3558 (insK)	IS150 transposase B
wgMLST	b3562 (yiaA)	"YiaAB family inner membrane protein, tandem domains"
wgMLST	b3564 (xylB)	xylulokinase
wgMLST	b3566 (xylF)	D-xylose transporter subunit
wgMLST	b3567 (xylG)	fused D-xylose transporter subunits of ABC superfamily: ATP-binding components
wgMLST	b3568 (xylH)	D-xylose ABC transporter permease subunit
wgMLST	b3569 (xylR)	xylose divergent operon transcriptional activator
wgMLST	b3570 (bax)	putative glucosaminidase
wgMLST	b3571 (malS)	alpha-amylase
wgMLST	b3572 (avtA)	valine-pyruvate aminotransferase 1
wgMLST	b3574 (yiaJ)	transcriptional repressor of yiaK-S operon
wgMLST	b3575 (yiaK)	"2,3-diketo-L-gulonate reductase, NADH-dependent "
wgMLST	b3576 (yiaL)	DUF386 family protein
wgMLST	b3577 (yiaM)	"2,3-diketo-L-gulonate TRAP transporter small permease protein"
wgMLST	b3578 (yiaN)	"2,3-diketo-L-gulonate TRAP transporter large permease protein"
wgMLST	b3579 (yiaO)	"2,3-diketo-L-gulonate-binding periplasmic protein"
wgMLST	b3580 (lyxK)	L-xylulose kinase
wgMLST	b3581 (sgbH)	3-keto-L-gulonate 6-phosphate decarboxylase
wgMLST	b3582 (sgbU)	putative L-xylulose 5-phosphate 3-epimerase
wgMLST	b3584 (yiaT)	putative outer membrane protein
wgMLST	b3585 (yiaU)	putative DNA-binding transcriptional regulator
wgMLST	b3588 (aldB)	aldehyde dehydrogenase B
wgMLST	b3589 (yiaY)	"putative Fe-containing alcohol dehydrogenase, Pfam00465 family"
wgMLST	b3594 (yibA)	HEAT-domain lethality reduction protein; putative immunity protein for putative polymorphic toxin RhsA
wgMLST	b3596 (yibG)	TPR-like repeat protein
wgMLST	b3597 (yibH)	putative membrane fusion protein (MFP) component of efflux pump
wgMLST	b3615 (waaH)	LPS(HepIII)-glucuronic acid glycosyltransferase
wgMLST	b3618 (yibB)	"YibB family protein, function unknown"
wgMLST	b3621 (waaC)	ADP-heptose:LPS heptosyl transferase I
wgMLST	b3622 (waaL)	O-antigen ligase
wgMLST	b3623 (waaU)	lipopolysaccharide core biosynthesis
wgMLST	b3624 (waaZ)	lipopolysaccharide core biosynthesis protein
wgMLST	b3625 (waaY)	lipopolysaccharide core biosynthesis protein
wgMLST	b3626 (waaJ)	UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase
wgMLST	b3627 (waaR)	"UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase "
wgMLST	b3628 (waaB)	"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase "
wgMLST	b3629 (waaS)	lipopolysaccharide core biosynthesis protein
wgMLST	b3632 (waaQ)	lipopolysaccharide core biosynthesis protein
wgMLST	b3638 (yicR)	UPF0758 family protein
wgMLST	b3645 (dinD)	DNA damage-inducible protein
wgMLST	b3656 (yicI)	putative alpha-glucosidase
wgMLST	b3657 (yicJ)	putative transporter
wgMLST	b3660 (yicL)	EamA family inner membrane putative transporter
wgMLST	b3661 (nlpA)	cytoplasmic membrane lipoprotein-28
wgMLST	b3662 (nepI)	putative transporter
wgMLST	b3664 (yicO)	putative adenine permease
wgMLST	b3665 (ade)	cryptic adenine deaminase
wgMLST	b3677 (yidI)	inner membrane protein
wgMLST	b3678 (yidJ)	sulfatase/phosphatase superfamily protein
wgMLST	b3679 (yidK)	putative transporter
wgMLST	b3680 (yidL)	AraC family putative transcriptional regulator
wgMLST	b3684 (yidP)	UTRA domain-containing GntR family putative transcriptional regulator
wgMLST	b3690 (cbrA)	"colicin M resistance protein; FAD-binding protein, putative oxidoreductase"
wgMLST	b3691 (dgoT)	D-galactonate transporter
wgMLST	b3693 (dgoK)	2-oxo-3-deoxygalactonate kinase
wgMLST	b3696 (yidX)	putative lipoprotein
wgMLST	b3707 (tnaC)	tryptophanase leader peptide
wgMLST	b3708 (tnaA)	"tryptophanase/L-cysteine desulfhydrase, PLP-dependent "
wgMLST	b3711 (yidZ)	putative DNA-binding transcriptional regulator
wgMLST	b3715 (yieH)	phosphoenolpyruvate and 6-phosphogluconate phosphatase
wgMLST	b3716 (cbrB)	"PRK09823 family inner membrane protein, creBC regulon"
wgMLST	b3717 (cbrC)	UPF0167 family protein
wgMLST	b3718 (yieK)	putative 6-phosphogluconolactonase
wgMLST	b3719 (yieL)	putative xylanase
wgMLST	b3720 (bglH)	"carbohydrate-specific outer membrane porin, cryptic"
wgMLST	b3722 (bglF)	fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component
wgMLST	b3723 (bglG)	transcriptional antiterminator of the bgl operon
wgMLST	b3724 (phoU)	negative regulator of PhoR/PhoB two-component regulator
wgMLST	b3751 (rbsB)	D-ribose transporter subunit
wgMLST	b3765 (yifB)	bifunctional magnesium chelatase family protein and putative transcriptional regulator
wgMLST	b3773 (ilvY)	transcriptional activator of ilvC; autorepressor
wgMLST	b3801 (aslA)	putative Ser-type periplasmic non-aryl sulfatase
wgMLST	b3803 (hemX)	putative uroporphyrinogen III methyltransferase
wgMLST	b3816 (corA)	magnesium/nickel/cobalt transporter
wgMLST	b3817 (yigF)	putative inner membrane protein
wgMLST	b3818 (yigG)	PRK11371 family inner membrane protein
wgMLST	b3819 (rarD)	putative chloramphenical resistance permease
wgMLST	b3830 (ysgA)	putative carboxymethylenebutenolidase
wgMLST	b3831 (udp)	uridine phosphorylase
wgMLST	b3861 (yihF)	DUF945 family protein
wgMLST	b3862 (yihG)	"inner membrane protein, inner membrane acyltransferase"
wgMLST	b3872 (yihL)	putative DNA-binding transcriptional regulator
wgMLST	b3873 (yihM)	putative sugar phosphate isomerase
wgMLST	b3874 (yihN)	MFS transporter family protein
wgMLST	b3875 (ompL)	outer membrane porin L
wgMLST	b3876 (yihO)	putative transporter
wgMLST	b3877 (yihP)	putative transporter
wgMLST	b3878 (yihQ)	alpha-glucosidase
wgMLST	b3879 (yihR)	"mutarotase superfamily protein, YihR family"
wgMLST	b3880 (yihS)	aldose-ketose isomerase; D-mannose isomerase
wgMLST	b3881 (yihT)	putative aldolase
wgMLST	b3882 (yihU)	"gamma-hydroxybutyrate dehydrogenase, NADH-dependent"
wgMLST	b3883 (yihV)	putative sugar kinase
wgMLST	b3884 (yihW)	DeoR family putative transcriptional regulator
wgMLST	b3889 (yiiE)	CopG family putative transcriptional regulator
wgMLST	b3890 (yiiF)	"putative thymol sensitivity protein, CopG family putative transcriptional regulator"
wgMLST	b3895 (fdhD)	formate dehydrogenase formation protein
wgMLST	b3896 (yiiG)	DUF3829 family lipoprotein
wgMLST	b3897 (frvR)	putative frv operon regulator; contains a PTS EIIA domain
wgMLST	b3898 (frvX)	putative peptidase
wgMLST	b3899 (frvB)	"putative PTS enzyme, IIB component/IIC component "
wgMLST	b3900 (frvA)	putative enzyme IIA component of PTS
wgMLST	b3901 (rhaM)	L-rhamnose mutarotase
wgMLST	b3902 (rhaD)	rhamnulose-1-phosphate aldolase
wgMLST	b3903 (rhaA)	L-rhamnose isomerase
wgMLST	b3904 (rhaB)	rhamnulokinase
wgMLST	b3907 (rhaT)	L-rhamnose:proton symporter
wgMLST	b3909 (kdgT)	2-keto-3-deoxy-D-gluconate transporter
wgMLST	b3926 (glpK)	glycerol kinase
wgMLST	b3947 (frwA)	"putative PTS enzyme, Hpr component/enzyme I component/enzyme IIA component "
wgMLST	b3966 (btuB)	vitamin B12/cobalamin outer membrane transporter
wgMLST	b3989 (yjaZ)	stationary phase growth adaptation protein
wgMLST	b4011 (yjaA)	stress-induced protein
wgMLST	b4014 (aceB)	malate synthase A
wgMLST	b4016 (aceK)	isocitrate dehydrogenase kinase/phosphatase
wgMLST	b4017 (arpA)	ankyrin repeat protein
wgMLST	b4023 (yjbD)	DUF3811 family protein
wgMLST	b4028 (yjbG)	extracellular polysaccharide export OMA protein
wgMLST	b4029 (yjbH)	DUF940 family extracellular polysaccharide protein
wgMLST	b4031 (xylE)	D-xylose transporter
wgMLST	b4047 (yjbL)	uncharacterized protein
wgMLST	b4048 (yjbM)	uncharacterized protein
wgMLST	b4049 (dusA)	tRNA-dihydrouridine synthase A
wgMLST	b4063 (soxR)	redox-sensitive transcriptional activator of soxS; autorepressor
wgMLST	b4064 (yjcD)	inner membrane putative guanine permease
wgMLST	b4066 (yjcF)	pentapeptide repeats protein
wgMLST	b4083 (yjcS)	metallo-beta-lactamase superfamily protein
wgMLST	b4084 (alsK)	D-allose kinase
wgMLST	b4085 (alsE)	allulose-6-phosphate 3-epimerase
wgMLST	b4086 (alsC)	D-allose transporter subunit
wgMLST	b4087 (alsA)	fused D-allose transporter subunits of ABC superfamily: ATP-binding components
wgMLST	b4088 (alsB)	D-allose transporter subunit
wgMLST	b4089 (alsR)	d-allose-inducible als operon transcriptional repressor; autorepressor; repressor of rpiR
wgMLST	b4090 (rpiB)	ribose 5-phosphate isomerase B/allose 6-phosphate isomerase
wgMLST	b4092 (phnP)	"5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase"
wgMLST	b4093 (phnO)	aminoalkylphosphonate N-acetyltransferase
wgMLST	b4094 (phnN)	"ribose 1,5-bisphosphokinase"
wgMLST	b4095 (phnM)	ribophosphonate triphosphate hydrolase
wgMLST	b4096 (phnL)	ribophosphonate triphosphate synthase subunit; putative ABC transporter ATP-binding protein
wgMLST	b4097 (phnK)	"carbon-phosphorus lyase complex subunit, putative ATP transporter ATP-binding protein"
wgMLST	b4098 (phnJ)	"carbon-phosphorus lyase, SAM-dependent"
wgMLST	b4099 (phnI)	ribophosphonate triphosphate synthase complex putative catalytic subunit
wgMLST	b4100 (phnH)	ribophosphonate triphosphate synthase subunit
wgMLST	b4101 (phnG)	ribophosphonate triphosphate synthase subunit
wgMLST	b4102 (phnF)	putative DNA-binding transcriptional regulator of phosphonate uptake and biodegradation
wgMLST	b4105 (phnD)	phosphonate ABC transporter periplasmic binding protein
wgMLST	b4106 (phnC)	phosphonate ABC transporter ATP-binding subunit
wgMLST	b4109 (crfC)	"clamp-binding sister replication fork colocalization protein, dynamin-related"
wgMLST	b4110 (yjcZ)	"YjcZ family protein, mutational suppressor of yhjH motility mutation"
wgMLST	b4118 (melR)	melibiose operon transcriptional regulator; autoregulator
wgMLST	b4119 (melA)	"alpha-galactosidase, NAD(P)-binding "
wgMLST	b4120 (melB)	melibiose:sodium symporter
wgMLST	b4121 (yjdF)	DUF2238 family inner membrane protein
wgMLST	b4126 (yjdI)	putative 4Fe-4S mono-cluster protein
wgMLST	b4127 (yjdJ)	putative acyl-CoA transferase
wgMLST	b4128 (yjdK)	uncharacterized protein
wgMLST	b4131 (cadA)	"lysine decarboxylase, acid-inducible "
wgMLST	b4132 (cadB)	putative lysine/cadaverine transporter
wgMLST	b4133 (cadC)	cadBA operon transcriptional activator
wgMLST	b4145 (yjeJ)	uncharacterized protein
wgMLST	b4156 (yjeM)	putative transporter
wgMLST	b4157 (yjeN)	uncharacterized protein
wgMLST	b4158 (yjeO)	inner membrane protein
wgMLST	b4181 (yjfI)	DUF2170 family protein
wgMLST	b4182 (yjfJ)	PspA/IM30 family protein
